taskID,title,abstract,items
8701013,famotidine-associated delirium. a series of six cases.,"famotidine is a histamine h2-receptor antagonist used in inpatient settings for prevention of stress ulcers and is showing increasing popularity because of its low cost. although all of the currently available h2-receptor antagonists have shown the propensity to cause delirium, only two previously reported cases have been associated with famotidine. the authors report on six cases of famotidine-associated delirium in hospitalized patients who cleared completely upon removal of famotidine. the pharmacokinetics of famotidine are reviewed, with no change in its metabolism in the elderly population seen. the implications of using famotidine in elderly persons are discussed.","[{""id"": ""0"", ""label"": ""yes"", ""e1"": ""famotidine"", ""e2"": ""delirium""}, {""id"": ""1"", ""label"": ""no"", ""e1"": ""famotidine"", ""e2"": ""ulcers""}]"
439781,indomethacin induced hypotension in sodium and volume depleted rats.,"after a single oral dose of 4 mg/kg indomethacin (idm) to sodium and volume depleted rats plasma renin activity (pra) and systolic blood pressure fell significantly within four hours. in sodium repleted animals indomethacin did not change systolic blood pressure (bp) although plasma renin activity was decreased. thus, indomethacin by inhibition of prostaglandin synthesis may diminish the blood pressure maintaining effect of the stimulated renin-angiotensin system in sodium and volume depletion.","[{""id"": ""2"", ""label"": ""yes"", ""e1"": ""indomethacin"", ""e2"": ""hypotension""}, {""id"": ""3"", ""label"": ""no"", ""e1"": ""sodium"", ""e2"": ""hypotension""}, {""id"": ""4"", ""label"": ""yes"", ""e1"": ""idm"", ""e2"": ""hypotension""}, {""id"": ""5"", ""label"": ""no"", ""e1"": ""prostaglandin"", ""e2"": ""hypotension""}, {""id"": ""6"", ""label"": ""no"", ""e1"": ""angiotensin"", ""e2"": ""hypotension""}]"
22836123,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","[{""id"": ""7"", ""label"": ""no"", ""e1"": ""tacrolimus"", ""e2"": ""scleroderma renal crisis""}, {""id"": ""8"", ""label"": ""no"", ""e1"": ""tacrolimus"", ""e2"": ""src""}, {""id"": ""9"", ""label"": ""yes"", ""e1"": ""tacrolimus"", ""e2"": ""systemic sclerosis""}, {""id"": ""10"", ""label"": ""yes"", ""e1"": ""tacrolimus"", ""e2"": ""ssc""}, {""id"": ""11"", ""label"": ""no"", ""e1"": ""tacrolimus"", ""e2"": ""thrombotic microangiopathy""}, {""id"": ""12"", ""label"": ""no"", ""e1"": ""prednisolone"", ""e2"": ""scleroderma renal crisis""}, {""id"": ""13"", ""label"": ""no"", ""e1"": ""prednisolone"", ""e2"": ""src""}, {""id"": ""14"", ""label"": ""no"", ""e1"": ""prednisolone"", ""e2"": ""systemic sclerosis""}, {""id"": ""15"", ""label"": ""no"", ""e1"": ""prednisolone"", ""e2"": ""ssc""}, {""id"": ""16"", ""label"": ""no"", ""e1"": ""prednisolone"", ""e2"": ""thrombotic microangiopathy""}, {""id"": ""17"", ""label"": ""no"", ""e1"": ""corticosteroid"", ""e2"": ""scleroderma renal crisis""}, {""id"": ""18"", ""label"": ""no"", ""e1"": ""corticosteroid"", ""e2"": ""src""}, {""id"": ""19"", ""label"": ""yes"", ""e1"": ""corticosteroid"", ""e2"": ""systemic sclerosis""}, {""id"": ""20"", ""label"": ""yes"", ""e1"": ""corticosteroid"", ""e2"": ""ssc""}, {""id"": ""21"", ""label"": ""no"", ""e1"": ""corticosteroid"", ""e2"": ""thrombotic microangiopathy""}, {""id"": ""22"", ""label"": ""no"", ""e1"": ""cyclosporine"", ""e2"": ""scleroderma renal crisis""}, {""id"": ""23"", ""label"": ""no"", ""e1"": ""cyclosporine"", ""e2"": ""src""}, {""id"": ""24"", ""label"": ""no"", ""e1"": ""cyclosporine"", ""e2"": ""systemic sclerosis""}, {""id"": ""25"", ""label"": ""no"", ""e1"": ""cyclosporine"", ""e2"": ""ssc""}, {""id"": ""26"", ""label"": ""yes"", ""e1"": ""cyclosporine"", ""e2"": ""thrombotic microangiopathy""}, {""id"": ""27"", ""label"": ""no"", ""e1"": ""corticosteroids"", ""e2"": ""scleroderma renal crisis""}, {""id"": ""28"", ""label"": ""no"", ""e1"": ""corticosteroids"", ""e2"": ""src""}, {""id"": ""29"", ""label"": ""yes"", ""e1"": ""corticosteroids"", ""e2"": ""systemic sclerosis""}, {""id"": ""30"", ""label"": ""yes"", ""e1"": ""corticosteroids"", ""e2"": ""ssc""}, {""id"": ""31"", ""label"": ""no"", ""e1"": ""corticosteroids"", ""e2"": ""thrombotic microangiopathy""}]"
23433219,the risk and associated factors of methamphetamine psychosis in methamphetamine-dependent patients in malaysia.,"objective: the objective of this study was to determine the risk of lifetime and current methamphetamine-induced psychosis in patients with methamphetamine dependence. the association between psychiatric co-morbidity and methamphetamine-induced psychosis was also studied. methods: this was a cross-sectional study conducted concurrently at a teaching hospital and a drug rehabilitation center in malaysia. patients with the diagnosis of methamphetamine based on dsm-iv were interviewed using the mini international neuropsychiatric interview (m.i.n.i.) for methamphetamine-induced psychosis and other axis i psychiatric disorders. the information on sociodemographic background and drug use history was obtained from interview or medical records. results: of 292 subjects, 47.9% of the subjects had a past history of psychotic symptoms and 13.0% of the patients were having current psychotic symptoms. co-morbid major depressive disorder (or=7.18, 95 ci=2.612-19.708), bipolar disorder (or=13.807, 95 ci=5.194-36.706), antisocial personality disorder (or=12.619, 95 ci=6.702-23.759) and heavy methamphetamine uses were significantly associated with lifetime methamphetamine-induced psychosis after adjusted for other factors. major depressive disorder (or=2.870, ci=1.154-7.142) and antisocial personality disorder (or=3.299, 95 ci=1.375-7.914) were the only factors associated with current psychosis. conclusion: there was a high risk of psychosis in patients with methamphetamine dependence. it was associated with co-morbid affective disorder, antisocial personality, and heavy methamphetamine use. it is recommended that all cases of methamphetamine dependence should be screened for psychotic symptoms.","[{""id"": ""32"", ""label"": ""yes"", ""e1"": ""methamphetamine"", ""e2"": ""psychosis""}, {""id"": ""33"", ""label"": ""no"", ""e1"": ""methamphetamine"", ""e2"": ""psychiatric disorders""}, {""id"": ""34"", ""label"": ""yes"", ""e1"": ""methamphetamine"", ""e2"": ""psychotic symptoms""}, {""id"": ""35"", ""label"": ""no"", ""e1"": ""methamphetamine"", ""e2"": ""depressive disorder""}, {""id"": ""36"", ""label"": ""yes"", ""e1"": ""methamphetamine"", ""e2"": ""bipolar disorder""}, {""id"": ""37"", ""label"": ""yes"", ""e1"": ""methamphetamine"", ""e2"": ""antisocial personality disorder""}, {""id"": ""38"", ""label"": ""no"", ""e1"": ""methamphetamine"", ""e2"": ""major depressive disorder""}, {""id"": ""39"", ""label"": ""no"", ""e1"": ""methamphetamine"", ""e2"": ""affective disorder""}, {""id"": ""40"", ""label"": ""yes"", ""e1"": ""methamphetamine"", ""e2"": ""antisocial personality""}]"
23535177,cerebellar sensory processing alterations impact motor cortical plasticity in parkinson's disease: clues from dyskinetic patients.,"the plasticity of primary motor cortex (m1) in patients with parkinson's disease (pd) and levodopa-induced dyskinesias (lids) is severely impaired. we recently reported in young healthy subjects that inhibitory cerebellar stimulation enhanced the sensorimotor plasticity of m1 that was induced by paired associative stimulation (pas). this study demonstrates that the deficient sensorimotor m1 plasticity in 16 patients with lids could be reinstated by a single session of real inhibitory cerebellar stimulation but not sham stimulation. this was evident only when a sensory component was involved in the induction of plasticity, indicating that cerebellar sensory processing function is involved in the resurgence of m1 plasticity. the benefit of inhibitory cerebellar stimulation on lids is known. to explore whether this benefit is linked to the restoration of sensorimotor plasticity of m1, we conducted an additional study looking at changes in lids and pas-induced plasticity after 10 sessions of either bilateral, real inhibitory cerebellar stimulation or sham stimulation. only real and not sham stimulation had an antidyskinetic effect and it was paralleled by a resurgence in the sensorimotor plasticity of m1. these results suggest that alterations in cerebellar sensory processing function, occurring secondary to abnormal basal ganglia signals reaching it, may be an important element contributing to the maladaptive sensorimotor plasticity of m1 and the emergence of abnormal involuntary movements.","[{""id"": ""41"", ""label"": ""no"", ""e1"": ""levodopa"", ""e2"": ""parkinson's disease""}, {""id"": ""42"", ""label"": ""yes"", ""e1"": ""levodopa"", ""e2"": ""dyskinetic""}, {""id"": ""43"", ""label"": ""no"", ""e1"": ""levodopa"", ""e2"": ""pd""}, {""id"": ""44"", ""label"": ""yes"", ""e1"": ""levodopa"", ""e2"": ""dyskinesias""}, {""id"": ""45"", ""label"": ""yes"", ""e1"": ""levodopa"", ""e2"": ""lids""}, {""id"": ""46"", ""label"": ""yes"", ""e1"": ""levodopa"", ""e2"": ""abnormal involuntary movements""}]"
23666265,the function of p2x3 receptor and nk1 receptor antagonists on cyclophosphamide-induced cystitis in rats.,"purpose: the purpose of the study is to explore the function of p2x3 and nk1 receptors antagonists on cyclophosphamide (cyp)-induced cystitis in rats. methods: sixty female sprague-dawley (sd) rats were randomly divided into three groups. the rats in the control group were intraperitoneally (i.p.) injected with 0.9% saline (4 ml/kg); the rats in the model group were i.p. injected with cyp (150 mg/kg); and the rats in the intervention group were i.p. injected with cyp with subsequently perfusion of bladder with p2x3 and nk1 receptors' antagonists, suramin and gr 82334. spontaneous pain behaviors following the administration of cyp were observed. urodynamic parameters, bladder pressure-volume curve, maximum voiding pressure (mvp), and maximum cystometric capacity (mcc), were recorded. pathological changes in bladder tissue were observed. immunofluorescence was used to detect the expression of p2x3 and nk1 receptors in bladder. results: cyclophosphamide treatment increased the spontaneous pain behaviors scores. the incidence of bladder instability during urine storage period of model group was significantly higher than intervention group (x(2) = 7.619, p = 0.007) and control group (x(2) = 13.755, p = 0.000). mcc in the model group was lower than the control and intervention groups (p < 0.01). histological changes evident in model and intervention groups rats' bladder included edema, vasodilation, and infiltration of inflammatory cells. in model group, the expression of p2x3 receptor increased in urothelium and suburothelium, and nk1 receptor increased in suburothelium, while the expression of them in intervention group was lower. conclusions: in cyp-induced cystitis, the expression of p2x3 and nk1 receptors increased in urothelium and/or suburothelium. perfusion of bladder with p2x3 and nk1 receptors antagonists ameliorated the bladder function.","[{""id"": ""47"", ""label"": ""yes"", ""e1"": ""cyclophosphamide"", ""e2"": ""cystitis""}, {""id"": ""48"", ""label"": ""yes"", ""e1"": ""cyclophosphamide"", ""e2"": ""pain""}, {""id"": ""49"", ""label"": ""yes"", ""e1"": ""cyclophosphamide"", ""e2"": ""edema""}, {""id"": ""50"", ""label"": ""yes"", ""e1"": ""cyp"", ""e2"": ""cystitis""}, {""id"": ""51"", ""label"": ""yes"", ""e1"": ""cyp"", ""e2"": ""pain""}, {""id"": ""52"", ""label"": ""yes"", ""e1"": ""cyp"", ""e2"": ""edema""}, {""id"": ""53"", ""label"": ""no"", ""e1"": ""suramin"", ""e2"": ""cystitis""}, {""id"": ""54"", ""label"": ""no"", ""e1"": ""suramin"", ""e2"": ""pain""}, {""id"": ""55"", ""label"": ""no"", ""e1"": ""suramin"", ""e2"": ""edema""}, {""id"": ""56"", ""label"": ""no"", ""e1"": ""gr 82334"", ""e2"": ""cystitis""}, {""id"": ""57"", ""label"": ""no"", ""e1"": ""gr 82334"", ""e2"": ""pain""}, {""id"": ""58"", ""label"": ""no"", ""e1"": ""gr 82334"", ""e2"": ""edema""}]"
23846525,acute hepatitis associated with clopidogrel: a case report and review of the literature.,"drug-induced hepatotoxicity is a common cause of acute hepatitis, and the recognition of the responsible drug may be difficult. we describe a case of clopidogrel-related acute hepatitis. the diagnosis is strongly suggested by an accurate medical history and liver biopsy. reports about cases of hepatotoxicity due to clopidogrel are increasing in the last few years, after the increased use of this drug. in conclusion, we believe that physicians should carefully consider the risk of drug-induced hepatic injury when clopidogrel is prescribed.","[{""id"": ""59"", ""label"": ""yes"", ""e1"": ""clopidogrel"", ""e2"": ""hepatitis""}, {""id"": ""60"", ""label"": ""yes"", ""e1"": ""clopidogrel"", ""e2"": ""hepatotoxicity""}, {""id"": ""61"", ""label"": ""yes"", ""e1"": ""clopidogrel"", ""e2"": ""hepatic injury""}]"
23864035,bortezomib and dexamethasone as salvage therapy in patients with relapsed/refractory multiple myeloma: analysis of long-term clinical outcomes.,"bortezomib (bort)-dexamethasone (dex) is an effective therapy for relapsed/refractory (r/r) multiple myeloma (mm). this retrospective study investigated the combination of bort (1.3 mg/m(2) on days 1, 4, 8, and 11 every 3 weeks) and dex (20 mg on the day of and the day after bort) as salvage treatment in 85 patients with r/r mm after prior autologous stem cell transplantation or conventional chemotherapy. the median number of prior lines of therapy was 2. eighty-seven percent of the patients had received immunomodulatory drugs included in some line of therapy before bort-dex. the median number of bort-dex cycles was 6, up to a maximum of 12 cycles. on an intention-to-treat basis, 55 % of the patients achieved at least partial response, including 19 % cr and 35 % achieved at least very good partial response. median durations of response, time to next therapy and treatment-free interval were 8, 11.2, and 5.1 months, respectively. the most relevant adverse event was peripheral neuropathy, which occurred in 78 % of the patients (grade ii, 38 %; grade iii, 21 %) and led to treatment discontinuation in 6 %. with a median follow up of 22 months, median time to progression, progression-free survival (pfs) and overall survival (os) were 8.9, 8.7, and 22 months, respectively. prolonged pfs and os were observed in patients achieving cr and receiving bort-dex a single line of prior therapy. bort-dex was an effective salvage treatment for mm patients, particularly for those in first relapse.","[{""id"": ""62"", ""label"": ""no"", ""e1"": ""bortezomib"", ""e2"": ""multiple myeloma""}, {""id"": ""63"", ""label"": ""no"", ""e1"": ""bortezomib"", ""e2"": ""mm""}, {""id"": ""64"", ""label"": ""yes"", ""e1"": ""bortezomib"", ""e2"": ""peripheral neuropathy""}, {""id"": ""65"", ""label"": ""no"", ""e1"": ""dexamethasone"", ""e2"": ""multiple myeloma""}, {""id"": ""66"", ""label"": ""no"", ""e1"": ""dexamethasone"", ""e2"": ""mm""}, {""id"": ""67"", ""label"": ""yes"", ""e1"": ""dexamethasone"", ""e2"": ""peripheral neuropathy""}, {""id"": ""68"", ""label"": ""no"", ""e1"": ""bort"", ""e2"": ""multiple myeloma""}, {""id"": ""69"", ""label"": ""no"", ""e1"": ""bort"", ""e2"": ""mm""}, {""id"": ""70"", ""label"": ""yes"", ""e1"": ""bort"", ""e2"": ""peripheral neuropathy""}, {""id"": ""71"", ""label"": ""no"", ""e1"": ""dex"", ""e2"": ""multiple myeloma""}, {""id"": ""72"", ""label"": ""no"", ""e1"": ""dex"", ""e2"": ""mm""}, {""id"": ""73"", ""label"": ""yes"", ""e1"": ""dex"", ""e2"": ""peripheral neuropathy""}]"
23871786,pubertal exposure to bisphenol a increases anxiety-like behavior and decreases acetylcholinesterase activity of hippocampus in adult male mice.,"the negative effects of bisphenol a (bpa) on neurodevelopment and behaviors have been well established. acetylcholinesterase (ache) is a regulatory enzyme which is involved in anxiety-like behavior. this study investigated behavioral phenotypes and ache activity in male mice following bpa exposure during puberty. on postnatal day (pnd) 35, male mice were exposed to 50mg bpa/kg diet per day for a period of 35 days. on pnd71, a behavioral assay was performed using the elevated plus maze (epm) and the light/dark test. in addition, ache activity was measured in the prefrontal cortex, hypothalamus, cerebellum and hippocampus. results from our behavioral phenotyping indicated that anxiety-like behavior was increased in mice exposed to bpa. ache activity was significantly decreased in the hippocampus of mice with bpa compared to control mice, whereas no difference was found in the prefrontal cortex, hypothalamus and cerebellum. our findings showed that pubertal bpa exposure increased anxiety-like behavior, which may be associated with decreased ache activity of the hippocampus in adult male mice. further studies are necessary to investigate the cholinergic signaling of the hippocampus in pbe induced anxiety-like behaviors.","[{""id"": ""74"", ""label"": ""yes"", ""e1"": ""bisphenol a"", ""e2"": ""anxiety""}, {""id"": ""75"", ""label"": ""yes"", ""e1"": ""bpa"", ""e2"": ""anxiety""}]"
23872883,biochemical effects of solidago virgaurea extract on experimental cardiotoxicity.,"cardiovascular diseases (cvds) are the major health problem of advanced as well as developing countries of the world. the aim of the present study was to investigate the protective effect of the solidago virgaurea extract on isoproterenol-induced cardiotoxicity in rats. the subcutaneous injection of isoproterenol (30 mg/kg) into rats twice at an interval of 24 h, for two consecutive days, led to a significant increase in serum lactate dehydrogenase, creatine phosphokinase, alanine transaminase, aspartate transaminase, and angiotensin-converting enzyme activities, total cholesterol, triglycerides, free serum fatty acid, cardiac tissue malondialdehyde (mda), and nitric oxide levels and a significant decrease in levels of glutathione and superoxide dismutase in cardiac tissue as compared to the normal control group (p < 0.05). pretreatment with s. virgaurea extract for 5 weeks at a dose of 250 mg/kg followed by isoproterenol injection significantly prevented the observed alterations. captopril (50 mg/kg/day, given orally), an inhibitor of angiotensin-converting enzyme used as a standard cardioprotective drug, was used as a positive control in this study. the data of the present study suggest that s. virgaurea extract exerts its protective effect by decreasing mda level and increasing the antioxidant status in isoproterenol-treated rats. the study emphasizes the beneficial action of s. virgaurea extract as a cardioprotective agent.","[{""id"": ""76"", ""label"": ""yes"", ""e1"": ""isoproterenol"", ""e2"": ""cardiotoxicity""}, {""id"": ""77"", ""label"": ""no"", ""e1"": ""isoproterenol"", ""e2"": ""cardiovascular diseases""}, {""id"": ""78"", ""label"": ""no"", ""e1"": ""isoproterenol"", ""e2"": ""cvds""}, {""id"": ""79"", ""label"": ""no"", ""e1"": ""lactate"", ""e2"": ""cardiotoxicity""}, {""id"": ""80"", ""label"": ""no"", ""e1"": ""lactate"", ""e2"": ""cardiovascular diseases""}, {""id"": ""81"", ""label"": ""no"", ""e1"": ""lactate"", ""e2"": ""cvds""}, {""id"": ""82"", ""label"": ""no"", ""e1"": ""creatine"", ""e2"": ""cardiotoxicity""}, {""id"": ""83"", ""label"": ""no"", ""e1"": ""creatine"", ""e2"": ""cardiovascular diseases""}, {""id"": ""84"", ""label"": ""no"", ""e1"": ""creatine"", ""e2"": ""cvds""}, {""id"": ""85"", ""label"": ""no"", ""e1"": ""alanine"", ""e2"": ""cardiotoxicity""}, {""id"": ""86"", ""label"": ""no"", ""e1"": ""alanine"", ""e2"": ""cardiovascular diseases""}, {""id"": ""87"", ""label"": ""no"", ""e1"": ""alanine"", ""e2"": ""cvds""}, {""id"": ""88"", ""label"": ""no"", ""e1"": ""aspartate"", ""e2"": ""cardiotoxicity""}, {""id"": ""89"", ""label"": ""no"", ""e1"": ""aspartate"", ""e2"": ""cardiovascular diseases""}, {""id"": ""90"", ""label"": ""no"", ""e1"": ""aspartate"", ""e2"": ""cvds""}, {""id"": ""91"", ""label"": ""no"", ""e1"": ""angiotensin"", ""e2"": ""cardiotoxicity""}, {""id"": ""92"", ""label"": ""no"", ""e1"": ""angiotensin"", ""e2"": ""cardiovascular diseases""}, {""id"": ""93"", ""label"": ""no"", ""e1"": ""angiotensin"", ""e2"": ""cvds""}, {""id"": ""94"", ""label"": ""no"", ""e1"": ""cholesterol"", ""e2"": ""cardiotoxicity""}, {""id"": ""95"", ""label"": ""no"", ""e1"": ""cholesterol"", ""e2"": ""cardiovascular diseases""}, {""id"": ""96"", ""label"": ""no"", ""e1"": ""cholesterol"", ""e2"": ""cvds""}, {""id"": ""97"", ""label"": ""no"", ""e1"": ""triglycerides"", ""e2"": ""cardiotoxicity""}, {""id"": ""98"", ""label"": ""no"", ""e1"": ""triglycerides"", ""e2"": ""cardiovascular diseases""}, {""id"": ""99"", ""label"": ""no"", ""e1"": ""triglycerides"", ""e2"": ""cvds""}, {""id"": ""100"", ""label"": ""no"", ""e1"": ""fatty acid"", ""e2"": ""cardiotoxicity""}, {""id"": ""101"", ""label"": ""no"", ""e1"": ""fatty acid"", ""e2"": ""cardiovascular diseases""}, {""id"": ""102"", ""label"": ""no"", ""e1"": ""fatty acid"", ""e2"": ""cvds""}, {""id"": ""103"", ""label"": ""no"", ""e1"": ""malondialdehyde"", ""e2"": ""cardiotoxicity""}, {""id"": ""104"", ""label"": ""no"", ""e1"": ""malondialdehyde"", ""e2"": ""cardiovascular diseases""}, {""id"": ""105"", ""label"": ""no"", ""e1"": ""malondialdehyde"", ""e2"": ""cvds""}, {""id"": ""106"", ""label"": ""no"", ""e1"": ""mda"", ""e2"": ""cardiotoxicity""}, {""id"": ""107"", ""label"": ""no"", ""e1"": ""mda"", ""e2"": ""cardiovascular diseases""}, {""id"": ""108"", ""label"": ""no"", ""e1"": ""mda"", ""e2"": ""cvds""}, {""id"": ""109"", ""label"": ""no"", ""e1"": ""nitric oxide"", ""e2"": ""cardiotoxicity""}, {""id"": ""110"", ""label"": ""no"", ""e1"": ""nitric oxide"", ""e2"": ""cardiovascular diseases""}, {""id"": ""111"", ""label"": ""no"", ""e1"": ""nitric oxide"", ""e2"": ""cvds""}, {""id"": ""112"", ""label"": ""no"", ""e1"": ""glutathione"", ""e2"": ""cardiotoxicity""}, {""id"": ""113"", ""label"": ""no"", ""e1"": ""glutathione"", ""e2"": ""cardiovascular diseases""}, {""id"": ""114"", ""label"": ""no"", ""e1"": ""glutathione"", ""e2"": ""cvds""}, {""id"": ""115"", ""label"": ""no"", ""e1"": ""superoxide"", ""e2"": ""cardiotoxicity""}, {""id"": ""116"", ""label"": ""no"", ""e1"": ""superoxide"", ""e2"": ""cardiovascular diseases""}, {""id"": ""117"", ""label"": ""no"", ""e1"": ""superoxide"", ""e2"": ""cvds""}, {""id"": ""118"", ""label"": ""no"", ""e1"": ""captopril"", ""e2"": ""cardiotoxicity""}, {""id"": ""119"", ""label"": ""no"", ""e1"": ""captopril"", ""e2"": ""cardiovascular diseases""}, {""id"": ""120"", ""label"": ""no"", ""e1"": ""captopril"", ""e2"": ""cvds""}]"
