iter	Logloss
0	0.6931396484
1	0.6931355286
2	0.693129425
3	0.693126297
4	0.6931199646
5	0.6931160736
6	0.6931121826
7	0.6931086731
8	0.6931038666
9	0.6931001282
10	0.6930952454
11	0.693089447
12	0.6930857849
13	0.6930804443
14	0.6930762482
15	0.6930703735
16	0.6930672455
17	0.6930622864
18	0.6930574036
19	0.6930522919
20	0.6930491638
21	0.6930442047
22	0.6930395508
23	0.6930342865
24	0.6930300903
25	0.693024826
26	0.6930200195
27	0.6930149078
28	0.6930110168
29	0.6930062103
30	0.6930015564
31	0.6929971313
32	0.6929931641
33	0.692988739
34	0.6929841614
35	0.6929788208
36	0.6929743958
37	0.6929698944
38	0.692964859
39	0.6929605103
40	0.6929551697
41	0.6929514313
42	0.6929460144
43	0.6929420471
44	0.6929366302
45	0.6929331207
46	0.6929278564
47	0.6929238892
48	0.6929186249
49	0.6929148102
50	0.6929098511
51	0.6929055786
52	0.6929003906
53	0.692895813
54	0.6928910828
55	0.6928868866
56	0.6928819275
57	0.6928775024
58	0.69287323
59	0.6928684998
60	0.6928637695
61	0.6928591919
62	0.6928549194
63	0.6928498077
64	0.6928452301
65	0.692840271
66	0.6928364563
67	0.6928320313
68	0.6928272247
69	0.6928222656
70	0.6928179169
71	0.6928132629
72	0.6928086853
73	0.6928040314
74	0.6927993774
75	0.6927954102
76	0.6927908325
77	0.6927861023
78	0.6927815247
79	0.6927770996
80	0.6927723694
81	0.6927674866
82	0.6927627563
83	0.6927584839
84	0.6927536011
85	0.6927493286
86	0.6927445984
87	0.6927401733
88	0.6927353668
89	0.6927307892
90	0.6927258301
91	0.6927212524
92	0.6927163696
93	0.6927117157
94	0.6927071381
95	0.6927032471
96	0.6926987457
97	0.6926939392
98	0.6926892853
99	0.6926848602
100	0.6926805878
101	0.692675705
102	0.6926712799
103	0.6926665497
104	0.6926620483
105	0.6926568604
106	0.6926522827
107	0.6926478577
108	0.69264328
109	0.6926387024
110	0.6926343536
111	0.6926296997
112	0.6926251221
113	0.6926204681
114	0.692616272
115	0.6926114655
116	0.6926069641
117	0.692602005
118	0.6925973511
119	0.692592392
120	0.692587738
121	0.6925830841
122	0.6925784302
123	0.6925738525
124	0.6925691986
125	0.6925647736
126	0.6925601959
127	0.692555542
128	0.6925512695
129	0.6925466919
130	0.6925418091
131	0.6925372314
132	0.6925324249
133	0.6925279236
134	0.6925228882
135	0.6925183105
136	0.6925133514
137	0.6925085449
138	0.6925036621
139	0.6924992371
140	0.692494278
141	0.692489624
142	0.6924847412
143	0.6924801636
144	0.6924755859
145	0.6924710083
146	0.6924661255
147	0.6924612427
148	0.692456665
149	0.6924517822
150	0.6924468231
151	0.6924421692
152	0.6924372864
153	0.6924324036
154	0.6924279785
155	0.6924232483
156	0.6924185181
157	0.6924139404
158	0.6924093628
159	0.69240448
160	0.6923995972
161	0.6923950195
162	0.692390213
163	0.6923854065
164	0.6923806
165	0.6923760986
166	0.6923714447
167	0.6923664093
168	0.6923620605
169	0.6923574829
170	0.6923524475
171	0.6923478699
172	0.6923434448
173	0.6923388672
174	0.6923337555
175	0.6923291016
176	0.6923245239
177	0.6923200989
178	0.6923153687
179	0.692310791
180	0.6923059082
181	0.6923016357
182	0.6922967529
183	0.6922917175
184	0.6922872925
185	0.6922824097
186	0.692277832
187	0.6922729492
188	0.6922681427
189	0.6922636414
190	0.6922587585
191	0.6922541809
192	0.6922497559
193	0.692244873
194	0.6922401428
195	0.6922356415
196	0.6922309875
197	0.6922265625
198	0.6922219849
199	0.6922171021
200	0.6922125244
201	0.6922076416
202	0.6922026825
203	0.6921981812
204	0.6921936035
205	0.6921891785
206	0.6921844482
207	0.6921793365
208	0.6921750641
209	0.6921703339
210	0.6921660614
211	0.6921606445
212	0.6921562195
213	0.6921513367
214	0.692146759
215	0.6921421814
216	0.6921376801
217	0.692133255
218	0.6921289063
219	0.6921239471
220	0.6921191406
221	0.6921144104
222	0.6921098328
223	0.6921054077
224	0.6921005249
225	0.6920959473
226	0.6920913696
227	0.6920864868
228	0.6920819092
229	0.6920774078
230	0.6920726013
231	0.6920680237
232	0.6920629883
233	0.6920587921
234	0.6920541382
235	0.692049408
236	0.6920443726
237	0.6920399475
