iter	Passed	Remaining
0	2	514
1	4	493
2	6	471
3	7	434
4	8	414
5	10	394
6	11	378
7	12	367
8	14	358
9	15	356
10	17	354
11	18	352
12	20	347
13	21	343
14	24	360
15	25	358
16	27	357
17	29	354
18	30	351
19	32	350
20	33	346
21	35	346
22	36	342
23	38	340
24	39	339
25	41	338
26	43	338
27	44	335
28	46	332
29	47	330
30	49	329
31	50	323
32	51	323
33	53	321
34	55	320
35	56	319
36	58	317
37	60	316
38	61	315
39	63	313
40	68	329
41	69	326
42	71	323
43	73	322
44	74	319
45	75	317
46	77	314
47	79	313
48	81	313
49	82	311
50	84	309
51	85	307
52	87	304
53	89	303
54	90	301
55	92	300
56	94	298
57	95	297
58	97	297
59	99	296
60	101	294
61	103	293
62	104	290
63	106	288
64	108	287
65	109	286
66	111	285
67	113	283
68	115	282
69	117	281
70	118	279
71	120	278
72	122	277
73	124	276
74	126	274
75	128	273
76	133	279
77	135	277
78	136	275
79	138	273
80	139	271
81	142	270
82	144	269
83	146	268
84	148	267
85	150	266
86	152	265
87	154	263
88	156	262
89	158	260
90	160	259
91	163	259
92	165	257
93	167	256
94	169	254
95	171	252
96	173	251
97	175	250
98	178	250
99	181	249
100	183	248
101	185	246
102	187	245
103	189	243
104	191	242
105	195	243
106	197	242
107	199	240
108	202	239
109	204	237
110	206	236
111	208	235
112	210	233
113	212	231
114	214	229
115	216	228
116	218	226
117	220	224
118	222	222
119	224	221
120	227	220
121	230	219
122	232	217
123	234	215
124	236	213
125	238	211
126	240	209
127	242	208
128	244	206
129	246	204
130	248	203
131	250	201
132	252	199
133	254	197
134	257	196
135	259	194
136	261	192
137	264	191
138	266	189
139	268	187
140	270	186
141	272	184
142	275	182
143	277	181
144	280	179
145	282	177
146	284	175
147	285	173
148	288	172
149	289	170
150	291	168
151	293	166
152	295	164
153	297	162
154	299	160
155	300	158
156	302	156
157	304	154
158	306	152
159	308	150
160	311	148
161	313	147
162	316	145
163	318	143
164	320	141
165	322	139
166	324	137
167	326	136
168	328	134
169	330	132
170	332	130
171	338	129
172	340	127
173	342	125
174	344	123
175	346	121
176	348	120
177	350	118
178	352	116
179	355	114
180	357	112
181	359	110
182	361	108
183	363	106
184	365	104
185	368	102
186	370	100
187	372	99
188	374	97
189	376	95
190	378	93
191	380	91
192	382	89
193	384	87
194	386	85
195	391	83
196	393	81
197	395	79
198	396	77
199	401	76
200	403	74
201	405	72
202	407	70
203	410	68
204	412	66
205	414	64
206	416	62
207	418	60
208	421	58
209	423	56
210	425	54
211	427	52
212	430	50
213	432	48
214	435	46
215	437	44
216	439	42
217	441	40
218	443	38
219	445	36
220	449	34
221	451	32
222	454	30
223	456	28
224	458	26
225	460	24
226	465	22
227	467	20
228	468	18
229	470	16
230	472	14
231	474	12
232	477	10
233	483	8
234	485	6
235	488	4
236	490	2
237	492	0
