taskID,passage,label
HPRD50.d0.s0_0,Cloning and characterization of two evolutionarily conserved subunits ( PROTEIN1 and PROTEIN2 of human PROTEIN and their involvement in functional interactions with TFIIIB and RNA polymerase III,no
HPRD50.d0.s0_1,Cloning and characterization of two evolutionarily conserved subunits ( PROTEIN and PROTEIN1 of human PROTEIN2 and their involvement in functional interactions with TFIIIB and RNA polymerase III,no
HPRD50.d0.s0_2,Cloning and characterization of two evolutionarily conserved subunits ( PROTEIN1 and PROTEIN of human PROTEIN2 and their involvement in functional interactions with TFIIIB and RNA polymerase III,no
HPRD50.d1.s0_3,"Identification of residues in the PROTEIN1 that contact the MCP-1 receptor, PROTEIN2 ",yes
HPRD50.d1.s1_4,The receptor binding site of PROTEIN1 also is significantly different from the binding sites of PROTEIN and PROTEIN2 providing insight into the issue of receptor specificity,no
HPRD50.d1.s1_5,The receptor binding site of PROTEIN1 also is significantly different from the binding sites of PROTEIN2 and PROTEIN providing insight into the issue of receptor specificity,no
HPRD50.d1.s1_6,The receptor binding site of PROTEIN also is significantly different from the binding sites of PROTEIN1 and PROTEIN2 providing insight into the issue of receptor specificity,no
HPRD50.d1.s2_7,It was previously shown that the N-terminus of PROTEIN1 is critical for binding PROTEIN2 ,yes
HPRD50.d1.s3_8,"To identify the regions of PROTEIN1 that contact its receptor, PROTEIN2 we substituted all surface-exposed residues with alanine",yes
HPRD50.d2.s0_9,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the PROTEIN1 subunit or the PROTEIN2 and PROTEIN monomer,no
HPRD50.d2.s0_10,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the PROTEIN subunit or the PROTEIN1 and PROTEIN2 monomer,no
HPRD50.d2.s0_11,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the PROTEIN1 subunit or the PROTEIN and PROTEIN2 monomer,no
HPRD50.d2.s1_12,The formation of a functional single chain/subunit complex was not restricted to the FSH single chain/ PROTEIN1 subunit since CG single chain interacts with the monomeric PROTEIN2 subunit and exhibits FSH activity,no
HPRD50.d2.s2_13,"This is relevant for the case of LH and FSH, because both are synthesized in the same cell (i.e., pituitary gonadotrophs) and several of the alpha subunit sequences required for association with either the PROTEIN1 or PROTEIN2 subunits are different",no
HPRD50.d2.s3_14,"Previously, we showed that the PROTEIN1 or PROTEIN2 subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN and F beta alpha, respectively",no
HPRD50.d2.s3_15,"Previously, we showed that the PROTEIN1 or PROTEIN subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN2 and F beta alpha, respectively",no
HPRD50.d2.s3_16,"Previously, we showed that the PROTEIN or PROTEIN1 subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN2 and F beta alpha, respectively",no
HPRD50.d3.s0_17, PROTEIN1 activates PROTEIN2 which inhibits apoptosis in human prostate cancer cell lines,yes
HPRD50.d3.s1_18,RESULTS: Tyrosine phosphorylation of p85 is upregulated by PROTEIN1 in both LNCaP and PROTEIN2 ,no
HPRD50.d3.s2_19, PROTEIN1 promotes coprecipitation of p85 with PROTEIN2 the signal-transducing component of the PROTEIN ,yes
HPRD50.d3.s2_20, PROTEIN1 promotes coprecipitation of p85 with PROTEIN the signal-transducing component of the PROTEIN2 ,no
HPRD50.d3.s2_21, PROTEIN promotes coprecipitation of p85 with PROTEIN1 the signal-transducing component of the PROTEIN2 ,no
HPRD50.d4.s0_22,"In solution, FGFR4ed formed complexes with PROTEIN1 and PROTEIN2 both in the presence and absence of heparin",no
HPRD50.d4.s1_23,Immobilized PROTEIN also bound PROTEIN1 besides PROTEIN2 and PROTEIN ,no
HPRD50.d4.s1_24,Immobilized PROTEIN1 also bound PROTEIN2 besides PROTEIN and PROTEIN ,yes
HPRD50.d4.s1_25,Immobilized PROTEIN also bound PROTEIN1 besides PROTEIN and PROTEIN2 ,no
HPRD50.d4.s1_26,Immobilized PROTEIN1 also bound PROTEIN besides PROTEIN2 and PROTEIN ,yes
