taskID,passage,label
IEPA.d0.s0_0, PROTEIN1 stimulates PROTEIN2 production in dose-dependent fashion as well,yes
IEPA.d1.s1_1,"Phosphoinositide hydrolysis, resulting in PROTEIN1 (IP3) and diacylglycerol (DG) formation, has been implicated in PROTEIN2 stimulated pulsatile secretion of prostaglandin F2 alpha (PGF2 alpha) from uterine endometrium of sheep and other mammals",yes
IEPA.d2.s2_2,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN1 (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",no
IEPA.d2.s2_3,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN2 (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",no
IEPA.d2.s2_4,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN1 (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN2 and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",no
IEPA.d2.s2_5,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN1 (IP) (+760%, p less than 0.08), in response to PROTEIN2 than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",yes
IEPA.d2.s2_6,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",no
IEPA.d2.s2_7,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN1 and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",no
IEPA.d2.s2_8,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN1 than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",yes
IEPA.d2.s2_9,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN2 and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",no
