,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
10,Extra Trees Classifier,0.83,0.8748,0.8606,0.5937,0.7025,0.5891,0.6091,0.142
11,Random Forest Classifier,0.8312,0.871,0.8551,0.5971,0.7029,0.5903,0.6091,0.068
14,MLP Classifier,0.8488,0.8375,0.7505,0.6553,0.6986,0.5985,0.6017,0.184
13,Gaussian Process Classifier,0.85,0.8886,0.729,0.6627,0.6933,0.5945,0.5964,1.448
2,SVM - Radial Kernel,0.8244,0.8727,0.8472,0.5857,0.6923,0.5751,0.5946,0.11
8,K Neighbors Classifier,0.8475,0.8862,0.7293,0.658,0.6908,0.5901,0.5923,0.012
1,CatBoost Classifier,0.8425,0.8757,0.7586,0.6373,0.6922,0.5876,0.592,0.316
5,Logistic Regression,0.825,0.8521,0.8068,0.5921,0.6825,0.5658,0.5791,0.014
12,Extreme Gradient Boosting,0.7819,0.873,0.9142,0.5189,0.6618,0.5185,0.5639,0.052
3,Gradient Boosting Classifier,0.835,0.8726,0.7075,0.6309,0.6662,0.5572,0.5595,0.102
6,Linear Discriminant Analysis,0.8156,0.8722,0.7641,0.5806,0.6595,0.5364,0.5462,0.01
16,SVM - Linear Kernel,0.8162,0.8717,0.756,0.5832,0.6579,0.5354,0.5441,0.012
9,Naive Bayes,0.8119,0.8677,0.7695,0.5731,0.6565,0.531,0.5422,0.012
15,Decision Tree Classifier,0.8262,0.8091,0.7047,0.6113,0.6532,0.5383,0.542,0.01
7,Ada Boost Classifier,0.8294,0.8599,0.6538,0.6302,0.6402,0.5286,0.53,0.1
0,Light Gradient Boosting Machine,0.8238,0.8625,0.6701,0.6138,0.6393,0.5232,0.5252,0.098
4,Ridge Classifier,0.815,0.8526,0.6541,0.5952,0.6229,0.5008,0.502,0.016
