Data_ID,PMID,E1,E2,True_Label,llama3.2:1b_EMO01 + RAR02,llama3.2:1b_S2A01 + RE201
0,8701013,famotidine,delirium,1,0,0
1,8701013,famotidine,ulcers,0,0,0
2,439781,indomethacin,hypotension,1,1,0
3,439781,sodium,hypotension,0,0,0
4,439781,idm,hypotension,1,1,0
5,439781,prostaglandin,hypotension,0,0,0
6,439781,angiotensin,hypotension,0,1,0
7,22836123,tacrolimus,scleroderma renal crisis,0,0,0
8,22836123,tacrolimus,src,0,0,0
9,22836123,tacrolimus,systemic sclerosis,1,0,0
10,22836123,tacrolimus,ssc,1,0,0
11,22836123,tacrolimus,thrombotic microangiopathy,0,0,0
12,22836123,prednisolone,scleroderma renal crisis,0,1,1
13,22836123,prednisolone,src,0,1,1
14,22836123,prednisolone,systemic sclerosis,0,1,1
15,22836123,prednisolone,ssc,0,1,1
16,22836123,prednisolone,thrombotic microangiopathy,0,1,1
17,22836123,corticosteroid,scleroderma renal crisis,0,0,0
18,22836123,corticosteroid,src,0,0,0
19,22836123,corticosteroid,systemic sclerosis,1,0,0
